,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
0,1,3,3,グラティアス,牡3,56.0,C.ルメール,2:03.1,,3-2-3-2,34.9,498,+10,加藤 征弘,1
1,2,1,1,タイムトゥヘヴン,牡3,56.0,M.デムーロ,2:03.5,2 1/2,1-1-1-1,35.6,472,-4,戸田 博文,2
2,3,5,6,テンバガー,牡3,56.0,戸崎 圭太,2:03.7,1 1/4,5-5-5-5,35.2,510,+4,藤岡 健一,6
3,4,5,5,ヴァイスメテオール,牡3,56.0,丸山 元気,2:03.7,クビ,3-4-3-2,35.5,502,+4,木村 哲也,4
4,5,7,10,プラチナトレジャー,牡3,56.0,田辺 裕信,2:03.9,1 1/4,9-8-9-9,35.0,474,+2,国枝 栄,5
5,6,2,2,タイソウ,牡3,56.0,石橋 脩,2:04.2,1 1/2,2-2-2-2,36.1,498,0,西園 正都,3
6,7,6,7,エイカイファントム,牡3,56.0,岩田 望来,2:04.2,ハナ,6-8-8-6,35.5,520,0,藤原 英昭,11
7,8,7,9,アクセル,牡3,56.0,横山 武史,2:04.4,1 1/2,10-10-9-10,35.5,508,0,武 幸四郎,9
8,9,4,4,タケルジャック,牡3,56.0,北村 宏司,2:04.5,クビ,6-5-5-6,35.9,466,0,清水 久詞,10
9,10,8,11,ラカン,牡3,56.0,津村 明秀,2:04.6,1,11-11-9-10,35.6,478,+10,武市 康男,8
10,11,6,8,ブラックロータス,牡3,56.0,三浦 皇成,2:04.7,クビ,11-12-12-12,35.4,556,-6,金成 貴史,12
11,12,8,12,ディクテイター,牡3,56.0,北村 友一,2:05.4,4,8-5-5-6,36.8,514,-14,斉藤 崇史,7
0,1,8,14,ヴィクティファルス,牡3,56.0,池添 謙一,1:52.0,,8-8-9-9,36.1,480,+2,池添 学,3
1,2,4,6,アサマノイタズラ,牡3,56.0,嶋田 純次,1:52.0,アタマ,6-6-6-2,36.2,500,+10,手塚 貴久,7
2,3,6,10,ボーデン,牡3,56.0,川田 将雅,1:52.3,1 3/4,4-3-4-5,36.8,480,-2,木村 哲也,1
3,4,6,11,イルーシヴパンサー,牡3,56.0,横山 典弘,1:52.5,1 1/4,6-3-4-6,36.9,470,-8,久保田 貴士,8
4,5,3,4,ヴェイルネビュラ,牡3,56.0,戸崎 圭太,1:52.6,3/4,10-9-6-6,36.8,492,-2,大竹 正博,5
5,6,2,2,ワールドリバイバル,牡3,56.0,菱田 裕二,1:52.7,クビ,1-1-2-1,37.6,506,-2,牧田 和弥,10
6,7,1,1,ランドオブリバティ,牡3,56.0,三浦 皇成,1:52.7,クビ,4-6-3-2,37.4,464,-4,鹿戸 雄一,2
7,8,5,9,ロードトゥフェイム,牡3,56.0,木幡 巧也,1:52.8,クビ,8-9-9-6,36.9,470,-12,尾形 和幸,4
8,9,8,15,セルジュ,牡3,56.0,菅原 明良,1:52.9,1,11-9-11-10,36.7,482,-8,中川 公成,15
9,10,7,13,アールバロン,牡3,56.0,北村 宏司,1:53.2,1 3/4,2-2-1-2,38.2,488,-4,伊藤 大士,11
10,11,7,12,ビゾンテノブファロ,牡3,56.0,原 優介,1:53.7,2 1/2,14-13-11-12,37.5,476,0,小桧山 悟,14
