,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
5,6,3,5,イベリス,牝5,56.0,酒井 学,1:33.4,1/2,1-1-2,36.6,484,+12,角田 晃一,14
6,7,4,7,スマートリアン,牝4,54.0,池添 謙一,1:33.4,クビ,3-4-3,36.2,480,-14,石橋 守,1
7,8,7,14,マルターズディオサ,牝4,56.0,田辺 裕信,1:33.4,ハナ,11-9-9,35.7,456,+6,手塚 貴久,2
8,9,4,8,ムーンチャイム,牝6,53.0,大野 拓弥,1:33.6,1,14-15-16,35.5,470,0,千田 輝彦,15
9,10,6,11,レッドフラヴィア,牝4,53.0,津村 明秀,1:33.7,1/2,11-13-13,35.7,508,-10,平田 修,11
10,11,2,3,ドナウデルタ,牝5,56.0,鮫島 克駿,1:33.8,1/2,8-13-14,35.9,460,+4,高野 友和,7
11,12,8,16,クリノプレミアム,牝4,53.0,菅原 明良,1:33.9,1/2,3-3-3,36.9,482,-6,伊藤 伸一,10
12,13,3,6,サンクテュエール,牝4,55.0,横山 武史,1:33.9,クビ,3-9-9,36.3,478,+6,藤沢 和雄,12
13,14,5,10,ドナアトラエンテ,牝5,55.0,C.ルメール,1:34.1,1 1/4,14-9-9,36.4,468,+18,国枝 栄,5
14,15,6,12,スマイルカナ,牝4,56.0,柴田 大知,1:34.2,3/4,2-2-1,37.4,434,-2,高橋 祥泰,9
15,16,1,1,アクアミラビリス,牝5,54.0,浜中 俊,1:35.5,8,3-4-6,38.4,432,-4,吉村 圭司,6
0,1,6,11,イルーシヴパンサー,牡4,56.0,田辺 裕信,1:32.3,,14-13,33.1,476,+4,久保田 貴士,4
1,2,4,6,ファインルージュ,牝4,55.0,C.ルメール,1:32.6,1 3/4,7-8,34.0,510,+16,木村 哲也,1
2,3,5,9,カラテ,牡6,57.0,菅原 明良,1:32.7,クビ,10-11,33.9,534,+2,高橋 祥泰,2
3,4,8,15,カレンシュトラウス,牡5,56.0,津村 明秀,1:33.0,2,12-12,34.0,522,-2,平田 修,8
4,5,5,8,ドナアトラエンテ,牝6,54.0,M.デムーロ,1:33.2,1 1/2,10-9,34.5,468,0,国枝 栄,9
5,6,6,10,エイシンチラー,牝4,54.0,柴田 大知,1:33.3,1/2,13-13,34.1,468,-2,田中 剛,14
6,7,2,2,ワールドバローズ,牡4,56.0,和田 竜二,1:33.4,1/2,7-9,34.7,452,0,石坂 公一,6
7,8,8,14,カテドラル,牡6,58.0,戸崎 圭太,1:33.6,1,15-15,34.3,494,+2,池添 学,5
8,9,1,1,アオイクレアトール,牡5,56.0,内田 博幸,1:33.7,1/2,7-5,35.2,490,0,古賀 慎明,7
9,10,7,12,ヴェロックス,牡6,57.0,三浦 皇成,1:33.7,ハナ,3-3,35.4,492,-2,中内田 充正,12
10,11,2,3,ディアンドル,牝6,56.0,石川 裕紀人,1:33.7,クビ,3-3,35.4,496,-10,奥村 豊,15
11,12,7,13,ホウオウアマゾン,牡4,57.0,坂井 瑠星,1:33.8,3/4,5-5,35.3,510,-2,矢作 芳人,3
12,13,4,7,ケイデンスコール,牡6,59.0,石橋 脩,1:34.1,1 3/4,2-2,36.0,478,0,安田 隆行,13
13,14,3,5,,牡6,58.0,横山 武史,1:34.8,4,1-1,36.8,476,-2,小桧山 悟,10
14,15,3,4,マルターズディオサ,牝5,56.0,松岡 正海,1:35.3,3,5-5,36.8,452,-4,手塚 貴久,11
0,1,7,11,ディープボンド,牡5,57.0,和田 竜二,3:05.0,,6-7-6-5,34.6,510,+8,大久保 龍志,1
1,2,5,7,アイアンバローズ,牡5,56.0,石橋 脩,3:05.1,3/4,2-3-3-2,35.2,498,-2,上村 洋行,5
2,3,3,3,シルヴァーソニック,牡6,56.0,川田 将雅,3:05.4,1 1/2,6-5-4-3,35.4,448,+2,池江 泰寿,3
3,4,6,9,マカオンドール,牡4,55.0,吉田 隼人,3:05.4,ハナ,10-11-8-8,34.9,492,0,今野 貞一,2
4,5,6,8,ユーキャンスマイル,牡7,56.0,藤岡 佑介,3:05.6,1 1/2,8-8-6-5,35.4,514,+2,友道 康夫,6
5,6,5,6,キングオブドラゴン,牡5,56.0,坂井 瑠星,3:05.7,クビ,1-1-1-1,36.2,504,-4,矢作 芳人,4
6,7,4,4,トーセンカンビーナ,牡6,56.0,石川 裕紀人,3:06.0,2,12-11-12-11,35.1,474,-2,加藤 征弘,7
7,8,2,2,,牡8,56.0,荻野 極,3:06.3,2,8-8-9-11,35.5,504,-8,池江 泰寿,12
8,9,7,10,マンオブスピリット,せん5,56.0,池添 謙一,3:06.6,1 3/4,4-5-5-5,36.4,490,-2,斉藤 崇史,8
9,10,8,12,アドマイヤアルバ,せん7,56.0,原田 和真,3:07.2,3 1/2,10-10-9-10,36.5,470,-10,堀内 岳志,13
10,11,8,13,サンアップルトン,牡6,56.0,松岡 正海,3:07.3,クビ,13-13-9-9,36.7,478,+6,中野 栄治,10
11,12,4,5,ゴースト,せん6,56.0,鮫島 克駿,3:07.3,ハナ,2-2-2-3,37.5,498,+6,橋口 慎介,11
12,13,1,1,ダンビュライト,せん8,56.0,松若 風馬,3:19.7,大差,4-4-13-13,46.2,488,+8,音無 秀孝,9
0,1,6,9,アサクサゲンキ,せん7,60.0,石神 深一,3:43.2,,4-3-3-3,13.2,462,-2,音無 秀孝,1
1,2,1,1,メイショウウチデ,牡6,60.0,小坂 忠士,3:43.3,クビ,1-1-1-1,13.2,464,-8,南井 克巳,2
2,3,6,8,マサハヤドリーム,せん10,60.0,森 一馬,3:43.4,3/4,2-2-2-2,13.2,466,+10,今野 貞一,6
3,4,7,11,ポルトラーノ,せん6,60.0,草野 太郎,3:43.7,1 3/4,10-7-4-4,13.2,496,+4,萩原 清,3
4,5,5,7,,牡4,60.0,黒岩 悠,3:43.9,1,12-11-5-5,13.2,494,-4,武 英智,8
5,6,7,10,テリオスルイ,牡4,60.0,中村 将之,3:43.9,ハナ,8-9-5-5,13.2,460,-12,松下 武士,10
6,7,4,5,シャイニーゲール,牡8,60.0,小牧 加矢太,3:45.0,7,6-7-7-7,13.3,478,+2,五十嵐 忠男,4
7,8,8,13,メイショウユウスイ,牡4,60.0,西谷 誠,3:45.1,1/2,13-13-9-8,13.3,450,+8,飯田 祐史,7
8,9,2,2,シャイニーズラン,牡5,60.0,平沢 健治,3:46.1,6,5-5-8-8,13.3,454,-4,森田 直行,12
9,10,3,3,クラウンディバイダ,せん9,60.0,伴 啓太,3:46.4,1 3/4,8-9-9-10,13.4,464,-2,天間 昭一,11
10,11,8,12,グランソード,牡7,60.0,難波 剛健,3:48.0,10,10-12-11-11,13.5,568,0,高野 友和,13
11,中止,4,4,クライムメジャー,牡8,60.0,植野 貴也,,,2-3--,,522,+2,渡辺 薫彦,5
12,中止,5,6,マイネルプロンプト,せん10,60.0,白浜 雄造,,,6-5--,,472,-6,坂口 智康,9
0,1,6,9,フルデプスリーダー,牡5,56.0,丹内 祐次,1:44.2,,6-6-4-3,36.2,490,0,斎藤 誠,9
1,2,4,6,ウェルドーン,牝4,54.0,武 豊,1:44.3,クビ,2-2-2-1,36.6,514,-4,角田 晃一,6
2,3,3,3,,牡6,56.0,横山 和生,1:44.4,クビ,3-4-4-3,36.5,466,+2,安田 翔伍,2
3,4,3,4,,牡4,56.0,水口 優也,1:44.4,クビ,3-3-2-5,36.6,498,-2,中尾 秀正,1
4,5,7,11,ロードレガリス,牡7,56.0,富田 暁,1:44.5,クビ,11-11-10-9,35.6,528,+6,野中 賢二,5
5,6,5,7,ヒストリーメイカー,牡8,56.0,池添 謙一,1:44.6,1/2,5-4-4-5,36.6,528,+8,新谷 功一,7
6,7,6,10,ブラックアーメット,牡4,56.0,角田 大和,1:45.0,2 1/2,8-8-7-7,36.8,506,-4,角田 晃一,11
7,8,2,2,アイオライト,牡5,56.0,菱田 裕二,1:45.0,クビ,1-1-1-2,37.3,480,-4,武藤 善則,3
8,9,7,12,,牡7,58.0,松田 大作,1:45.4,2 1/2,10-10-9-10,36.8,486,-3,須貝 尚介,4
9,10,8,13,,牡9,56.0,鮫島 克駿,1:45.4,ハナ,11-11-7-7,37.2,496,-2,池添 学,14
10,11,8,14,,牡6,56.0,吉田 隼人,1:46.0,3 1/2,13-13-12-12,36.9,474,-2,谷 潔,10
11,12,4,5,アメリカンシード,牡5,56.0,柴山 雄一,1:46.2,1 1/4,8-8-12-13,37.2,474,-8,藤岡 健一,12
12,13,1,1,ロードエクレール,牡4,56.0,石川 裕紀人,1:46.5,1 1/2,6-7-10-11,37.7,470,-4,斎藤 誠,8
13,14,5,8,ダノンファラオ,牡5,58.0,浜中 俊,1:46.5,ハナ,14-14-14-14,36.4,540,0,矢作 芳人,13
0,1,2,4,ジャックドール,牡4,57.0,藤岡 佑介,2:01.2,,3-4-3-2,37.3,516,+8,藤岡 健一,3
1,2,2,3,パンサラッサ,牡5,57.0,吉田 豊,2:01.2,クビ,1-1-1-1,37.7,470,-6,矢作 芳人,2
2,3,5,9,ウインマリリン,牝5,55.0,松岡 正海,2:01.4,1 1/2,3-3-3-3,37.4,488,+12,手塚 貴久,5
3,4,6,12,アラタ,牡5,57.0,横山 武史,2:01.5,クビ,6-6-6-6,36.9,464,-2,和田 勇介,12
4,5,5,10,ソダシ,牝4,55.0,吉田 隼人,2:01.8,1 3/4,5-5-5-3,37.5,478,+2,須貝 尚介,1
5,6,3,6,グローリーヴェイズ,牡7,57.0,C.ルメール,2:01.8,クビ,9-8-7-7,37.0,462,前計不,尾関 知人,4
6,7,8,16,,牡5,57.0,横山 和生,2:01.9,1/2,14-13-10-7,36.9,502,+6,国枝 栄,7
7,8,4,8,フィオリキアリ,牝5,55.0,鮫島 克駿,2:02.1,1,11-11-12-10,36.8,458,+8,清水 久詞,13
8,9,7,13,レッドガラン,牡7,57.0,岩田 康誠,2:02.1,クビ,10-10-10-9,37.0,518,0,安田 隆行,9
9,10,4,7,,牡6,57.0,池添 謙一,2:02.4,1 3/4,15-15-15-13,36.6,474,-6,国枝 栄,8
10,11,7,14,ユーバーレーベン,牝4,55.0,M.デムーロ,2:02.6,1 1/4,15-15-15-10,36.8,498,前計不,手塚 貴久,6
11,12,6,11,ユニコーンライオン,牡6,57.0,坂井 瑠星,2:03.2,3 1/2,2-2-2-3,39.5,528,+12,矢作 芳人,11
12,13,3,5,,牡8,57.0,斎藤 新,2:03.2,アタマ,8-8-7-10,38.3,482,+10,池江 泰寿,16
13,14,8,15,ケイデンスコール,牡6,57.0,古川 吉洋,2:03.6,2 1/2,11-11-13-15,38.1,470,-4,安田 隆行,14
14,15,1,2,アイスバブル,牡7,57.0,水口 優也,2:03.6,クビ,6-6-7-13,38.8,472,-6,池江 泰寿,15
15,16,1,1,マカヒキ,牡9,57.0,武 豊,2:04.6,6,13-13-14-16,39.0,510,0,友道 康夫,10
0,1,3,4,サブライムアンセム,牝3,54.0,池添 謙一,1:19.9,,11-11,34.2,476,-2,藤原 英昭,2
1,2,2,2,ナムラクレア,牝3,54.0,浜中 俊,1:19.9,アタマ,9-9,34.4,466,+12,長谷川 浩大,1
2,3,4,6,アネゴハダ,牝3,54.0,酒井 学,1:20.2,1 3/4,3-3,35.0,438,-6,佐々木 晶三,4
3,4,2,3,マイシンフォニー,牝3,54.0,武 豊,1:20.3,3/4,11-11,34.6,464,-6,松永 幹夫,3
4,5,3,5,ラブリネスオーバー,牝3,54.0,松若 風馬,1:20.4,3/4,13-14,34.5,496,-6,高柳 瑞樹,14
5,6,5,9,ブッシュガーデン,牝3,54.0,富田 暁,1:20.4,ハナ,6-8,35.0,462,-2,武井 亮,12
6,7,6,10,キミワクイーン,牝3,54.0,内田 博幸,1:20.5,クビ,6-6,35.2,430,+10,奥村 武,5
7,8,1,1,アドヴァイス,牝3,54.0,和田 竜二,1:21.1,4,3-3,36.0,460,0,石坂 公一,9
8,9,6,11,ゼロドラゴン,牝3,54.0,横山 典弘,1:21.3,1,13-15,35.3,434,-4,寺島 良,13
9,10,7,12,スリーパーダ,牝3,54.0,坂井 瑠星,1:21.4,3/4,3-3,36.3,396,-8,斉藤 崇史,8
10,11,8,15,モチベーション,牝3,54.0,秋山 稔樹,1:21.5,1/2,9-9,36.0,428,-6,清水 英克,15
11,12,4,7,コンクパール,牝3,54.0,泉谷 楓真,1:21.6,3/4,1-1,36.7,478,0,中竹 和也,11
12,13,5,8,テイエムスパーダ,牝3,54.0,国分 恭介,1:21.8,3/4,2-2,36.8,494,+4,五十嵐 忠男,6
13,14,7,13,サウンドクレア,牝3,54.0,団野 大成,1:21.9,1/2,13-11,36.0,430,-6,安達 昭夫,10
14,15,8,14,ウィリン,牝3,54.0,菱田 裕二,1:22.4,3,6-6,37.1,426,-2,林 徹,7
0,1,2,4,イベリス,牝5,54.0,酒井 学,1:20.0,,1-1,34.3,484,+6,角田 晃一,3
1,2,8,15,ギルデッドミラー,牝4,54.0,福永 祐一,1:20.3,1 1/2,11-10,33.9,478,+4,松永 幹夫,5
2,3,7,14,ブランノワール,牝5,54.0,団野 大成,1:20.3,クビ,14-12,33.7,470,+4,須貝 尚介,9
3,4,4,7,アイラブテーラー,牝5,55.0,岩田 康誠,1:20.4,1/2,15-14,33.6,448,-6,河内 洋,4
4,5,6,12,シャインガーネット,牝4,54.0,田辺 裕信,1:20.5,クビ,7-5,34.4,476,0,栗田 徹,2
5,6,5,10,アマルフィコースト,牝6,54.0,幸 英明,1:20.7,1,2-2,34.8,476,+4,牧田 和弥,10
6,7,2,3,メイショウケイメイ,牝5,54.0,古川 吉洋,1:20.7,ハナ,11-12,34.3,430,+10,南井 克巳,16
7,8,1,2,ヤマカツマーメイド,牝4,54.0,国分 恭介,1:20.7,クビ,7-10,34.4,492,-2,池添 兼雄,12
8,9,8,16,,牝6,56.0,和田 竜二,1:20.7,クビ,5-3,34.7,468,-2,高野 友和,6
9,10,5,9,ビッククインバイオ,牝4,54.0,武 豊,1:20.8,クビ,7-7,34.6,486,+2,牧 光二,7
10,11,4,8,リリーバレロ,牝6,54.0,松山 弘平,1:21.0,1 1/4,7-7,34.8,476,+2,堀 宣行,1
11,12,3,5,マリアズハート,牝5,54.0,藤井 勘一郎,1:21.0,クビ,13-14,34.5,490,-6,菊沢 隆徳,11
12,13,6,11,アフランシール,牝5,54.0,秋山 真一郎,1:21.2,1 1/4,16-14,34.4,490,-20,尾関 知人,13
13,14,1,1,カリオストロ,牝4,54.0,北村 友一,1:21.2,ハナ,3-5,35.2,466,+6,加用 正,8
14,15,3,6,アンリミット,牝6,54.0,城戸 義政,1:21.4,1 1/4,5-7,35.3,484,+4,清水 久詞,15
15,16,7,13,メイショウショウブ,牝5,54.0,国分 優作,1:21.9,3,3-3,36.0,506,+8,池添 兼雄,14
0,1,3,3,アスクワイルドモア,牡3,56.0,岩田 望来,2:09.5,,9-8-9-6,35.2,462,-2,藤原 英昭,8
1,2,8,11,ヴェローナシチー,牡3,56.0,酒井 学,2:09.6,1/2,11-11-6-3,35.4,500,-2,佐々木 晶三,7
2,3,7,9,ボルドグフーシュ,牡3,56.0,松田 大作,2:09.8,1 1/4,12-12-12-12,35.0,484,-4,宮本 博,5
3,4,2,2,リカンカブール,牡3,56.0,藤岡 康太,2:10.2,2 1/2,4-4-3-3,36.1,488,+8,田中 克典,12
4,5,7,10,ブラックブロッサム,牡3,56.0,D.レーン,2:10.3,クビ,2-3-3-3,36.2,516,-6,斉藤 崇史,1
5,6,5,6,アップデート,牡3,56.0,浜中 俊,2:10.5,1 1/4,9-10-10-10,35.9,506,+2,杉山 晴紀,11
6,7,6,7,リアド,牡3,56.0,川田 将雅,2:10.6,1/2,4-5-6-6,36.3,462,-8,友道 康夫,3
7,8,6,8,,牡3,56.0,池添 謙一,2:11.0,2 1/2,8-8-10-10,36.5,486,-6,高野 友和,9
8,9,1,1,メイショウラナキラ,牡3,56.0,秋山 真一郎,2:11.0,ハナ,1-1-1-1,37.1,438,+2,南井 克巳,4
9,10,4,4,ストップザタイム,牡3,56.0,古川 吉洋,2:12.3,8,4-7-6-6,38.0,510,-6,昆 貢,10
10,11,5,5,ミスターホワイト,牡3,56.0,吉田 隼人,2:12.5,1 1/4,2-2-2-2,38.5,506,+6,矢作 芳人,6
11,12,8,12,ポッドボレット,牡3,56.0,福永 祐一,2:13.7,7,4-5-5-6,39.4,502,0,辻野 泰之,2
0,1,3,5,オーヴェルニュ,牡5,58.0,福永 祐一,1:54.7,,3-3-2-2,36.4,474,+14,西村 真幸,2
1,2,8,16,アメリカンシード,牡4,56.0,C.ルメール,1:55.7,6,1-1-1-1,38.2,474,+4,藤岡 健一,1
2,3,6,11,マルシュロレーヌ,牝5,55.0,川田 将雅,1:55.9,1 1/2,9-9-7-7,37.1,472,+15,矢作 芳人,3
3,4,1,2,アルドーレ,牡6,56.0,横山 典弘,1:56.0,3/4,14-14-14-14,36.3,502,+2,昆 貢,10
4,5,8,15,スワーヴアラミス,牡6,56.0,松田 大作,1:56.1,クビ,3-3-2-3,37.8,478,-14,須貝 尚介,11
5,6,4,7,ミヤジコクオウ,牡4,56.0,和田 竜二,1:56.1,クビ,5-5-5-3,37.6,518,0,川村 禎彦,13
6,7,4,8,サトノギャロス,牡5,56.0,津村 明秀,1:56.2,クビ,13-13-13-10,37.0,528,0,西園 正都,4
7,8,7,14,サクラアリュール,牡6,56.0,武 豊,1:56.2,ハナ,16-15-15-15,36.3,474,-10,村山 明,9
8,9,7,13,マリオマッハー,牡4,56.0,団野 大成,1:56.4,1 1/4,11-11-10-13,37.4,448,-10,安達 昭夫,16
9,10,2,4,デルマルーヴル,牡5,57.0,岩田 康誠,1:56.4,アタマ,9-9-10-10,37.4,504,-2,戸田 博文,15
10,11,5,9,マスターフェンサー,牡5,58.0,松山 弘平,1:56.6,1,11-11-10-10,37.6,498,+5,角田 晃一,6
11,12,1,1,,牡4,56.0,岩田 望来,1:56.6,クビ,6-7-7-7,37.9,526,0,吉岡 辰弥,7
12,13,6,12,ロードブレス,牡5,58.0,幸 英明,1:57.5,5,6-5-5-3,39.0,514,+2,奥村 豊,5
13,14,5,10,ドスハーツ,牡4,56.0,小沢 大仁,1:57.7,1 1/4,15-15-16-16,37.5,472,+10,松永 昌博,8
14,15,2,3,ケンシンコウ,牡4,57.0,酒井 学,1:58.6,5,6-7-7-9,39.8,484,-4,小西 一男,14
15,16,3,6,ペオース,牡4,56.0,藤岡 康太,1:58.7,3/4,2-2-2-3,40.5,490,+10,大久保 龍志,12
0,1,3,3,,牡5,52.0,鮫島 克駿,1:06.0,,1-1,33.7,518,-18,西村 真幸,8
1,2,7,11,ピクシーナイト,牡3,53.0,福永 祐一,1:06.1,1/2,7-6,33.3,528,-4,音無 秀孝,2
2,3,7,10,アウィルアウェイ,牝5,55.5,松山 弘平,1:06.2,3/4,8-8,33.2,490,+10,高野 友和,6
3,4,1,1,タイセイビジョン,牡4,57.0,川田 将雅,1:06.3,1/2,8-8,33.3,482,-4,西村 真幸,3
4,5,6,9,ヨカヨカ,牝3,51.0,和田 竜二,1:06.4,1/2,5-3,33.8,454,+8,谷 潔,1
5,6,8,13,ノーワン,牝5,53.0,荻野 極,1:06.5,1,10-10,33.3,478,+4,杉山 佳明,12
6,7,4,5,,牝6,51.0,酒井 学,1:06.6,クビ,2-2,34.3,498,-2,武 幸四郎,9
7,8,2,2,メイショウケイメイ,牝5,51.0,藤懸 貴志,1:06.7,1/2,10-10,33.5,436,+2,南井 克巳,13
8,9,4,4,,牝6,50.0,富田 暁,1:06.9,1 1/4,12-12,33.5,422,+10,武 英智,7
9,10,8,12,メイショウカリン,牝7,51.0,秋山 真一郎,1:07.1,1 1/2,13-13,33.5,518,+10,笹田 和秀,10
10,11,5,6,,牝4,53.0,藤岡 康太,1:07.2,クビ,2-3,34.8,484,+10,藤岡 健一,4
11,12,6,8,メイショウチタン,牡4,54.0,松若 風馬,1:07.3,1/2,2-3,34.9,468,-4,本田 優,5
12,13,5,7,,牝5,49.0,角田 大和,1:07.8,3,5-6,35.2,522,0,寺島 良,11
0,1,1,2,カテドラル,牡5,56.0,戸崎 圭太,1:32.0,,12-9-9,33.9,482,0,池添 学,7
1,2,5,9,コントラチェック,牝5,55.5,大野 拓弥,1:32.0,クビ,1-1-1,35.2,480,0,藤沢 和雄,12
2,3,1,1,グレナディアガーズ,牡3,56.0,川田 将雅,1:32.1,1/2,8-9-9,34.0,460,0,中内田 充正,1
3,4,7,13,スマートリアン,牝4,53.0,三浦 皇成,1:32.1,ハナ,3-4-6,34.6,478,-2,石橋 守,9
4,5,5,10,カラテ,牡5,57.0,菅原 明良,1:32.2,1/2,8-7-7,34.4,532,+12,高橋 祥泰,3
5,6,3,6,レイエンダ,せん6,57.0,津村 明秀,1:32.3,クビ,12-12-11,33.8,488,-6,藤沢 和雄,15
6,7,3,5,ステルヴィオ,牡6,58.0,横山 武史,1:32.4,1/2,3-4-3,34.9,500,0,岩戸 孝樹,8
7,8,4,7,マルターズディオサ,牝4,55.0,田辺 裕信,1:32.4,クビ,15-15-14,33.6,448,-2,手塚 貴久,4
8,9,4,8,,牡5,57.5,柴田 善臣,1:32.7,2,3-7-7,34.9,512,+4,辻野 泰之,14
9,10,8,16,スマイルカナ,牝4,55.0,柴田 大知,1:32.8,1/2,2-2-2,35.8,438,+6,高橋 祥泰,10
10,11,2,4,グランデマーレ,牡4,55.0,藤岡 康太,1:32.9,1/2,3-4-3,35.4,512,+4,藤岡 健一,5
11,12,6,12,カレンシュトラウス,牡4,55.0,池添 謙一,1:33.0,3/4,11-11-11,34.7,524,+10,平田 修,6
12,13,8,15,アカノニジュウイチ,牝4,53.0,横山 典弘,1:33.1,1/2,16-15-15,34.3,454,+6,尾関 知人,11
13,14,2,3,,牡9,56.0,武藤 雅,1:33.2,クビ,8-14-15,34.5,506,-16,安達 昭夫,16
14,15,6,11,バスラットレオン,牡3,54.0,藤岡 佑介,1:33.3,1/2,14-12-11,34.8,482,-2,矢作 芳人,2
15,16,7,14,マイスタイル,牡7,57.0,横山 和生,1:33.5,1 1/4,3-3-3,36.3,462,-8,昆 貢,13
0,1,6,6,コマンドライン,牡2,55.0,C.ルメール,1:36.4,,2-2,33.5,522,+10,国枝 栄,1
1,2,3,3,ステルナティーア,牝2,54.0,福永 祐一,1:36.5,1/2,3-3,33.4,442,-4,岩戸 孝樹,2
2,3,1,1,スタニングローズ,牝2,54.0,戸崎 圭太,1:36.5,クビ,5-5,33.2,480,-8,高野 友和,3
3,4,7,7,,牡2,55.0,菅原 明良,1:36.7,1,5-5,33.4,478,+10,音無 秀孝,4
4,5,5,5,ロードリライアブル,牡2,55.0,横山 武史,1:37.2,3,1-1,34.6,474,-2,清水 久詞,5
5,6,4,4,ガトーフレーズ,牝2,54.0,M.デムーロ,1:37.5,1 1/2,7-7,33.8,430,+2,清水 英克,6
6,7,2,2,ケッツァー,牡2,55.0,柴田 大知,1:37.7,1 1/2,3-4,34.5,478,+4,高橋 祥泰,7
0,1,3,5,ケイデンスコール,牡5,56.0,古川 吉洋,1:31.4,,8-8,33.8,470,-2,安田 隆行,2
1,2,3,6,アルジャンナ,牡4,56.0,福永 祐一,1:31.6,1 1/4,10-10,33.7,466,-6,池江 泰寿,3
2,3,2,4,,牡5,56.0,荻野 極,1:31.6,ハナ,4-4,34.6,470,+2,北出 成人,9
3,4,4,8,ダイワキャグニー,せん7,56.0,幸 英明,1:31.6,アタマ,5-5,34.5,494,-6,菊沢 隆徳,11
4,5,5,10,エアロロノア,牡4,56.0,池添 謙一,1:31.6,クビ,10-10,33.8,498,0,笹田 和秀,1
5,6,7,14,ザイツィンガー,牡5,56.0,北村 友一,1:31.7,1/2,5-5,34.5,430,0,牧田 和弥,12
6,7,8,16,ギベオン,牡6,57.0,西村 淳也,1:31.8,クビ,7-7,34.4,512,+4,藤原 英昭,6
7,8,1,2,エアスピネル,牡8,56.0,鮫島 克駿,1:31.9,3/4,8-8,34.2,488,0,笹田 和秀,4
8,9,7,13,ワールドウインズ,せん4,56.0,藤岡 康太,1:31.9,ハナ,12-12,33.9,456,-4,武 幸四郎,10
9,10,6,11,ブラックムーン,牡9,56.0,団野 大成,1:32.2,2,15-15,33.8,496,-2,辻野 泰之,15
10,11,6,12,ラセット,牡6,56.0,秋山 真一郎,1:32.2,アタマ,14-14,34.1,494,+2,庄野 靖志,5
11,12,4,7,ボンセルヴィーソ,牡7,56.0,松若 風馬,1:32.3,クビ,3-3,35.5,480,-4,池添 学,7
12,13,5,9,ルフトシュトローム,牡4,56.0,岩田 望来,1:32.4,1/2,12-12,34.4,492,-14,堀 宣行,8
13,14,8,15,フォックスクリーク,牡6,56.0,藤岡 佑介,1:33.1,4,2-2,36.6,482,0,中内田 充正,14
14,15,1,1,,牡9,56.0,浜中 俊,1:33.2,1/2,1-1,37.4,526,+8,安達 昭夫,13
15,除外,2,3,パンサラッサ,牡4,56.0,坂井 瑠星,,,,,476,+6,矢作 芳人,
0,1,7,15,ザダル,牡5,56.0,石橋 脩,1:45.1,,10-9-8,34.4,504,+12,大竹 正博,3
1,2,7,13,サトノフラッグ,牡4,56.0,戸崎 圭太,1:45.2,クビ,14-15-12,34.3,496,-2,国枝 栄,6
2,3,4,7,ファルコニア,牡4,56.0,川田 将雅,1:45.4,1 1/4,13-10-7,34.8,460,+4,高野 友和,2
3,4,2,3,ヴェロックス,牡5,57.0,浜中 俊,1:45.4,クビ,8-10-8,34.7,494,-4,中内田 充正,8
4,5,8,18,アトミックフォース,牡5,56.0,武藤 雅,1:45.5,クビ,2-2-2,35.3,480,-2,武藤 善則,13
5,6,3,6,ヒュミドール,せん5,56.0,吉田 豊,1:45.6,1/2,10-16-16,34.4,462,-12,小手川 準,11
6,7,8,17,アドマイヤビルゴ,牡4,56.0,岩田 望来,1:45.6,ハナ,10-10-12,34.7,440,+12,友道 康夫,7
7,8,5,10,ワンダープチュック,牡7,56.0,田辺 裕信,1:45.7,3/4,17-16-16,34.5,504,+4,河内 洋,17
8,9,5,9,ヤシャマル,牡4,56.0,木幡 巧也,1:45.8,1/2,3-4-3,35.3,508,+2,尾形 和幸,5
9,10,4,8,アルジャンナ,牡4,56.0,C.ルメール,1:46.4,3 1/2,6-5-3,36.0,462,-4,池江 泰寿,1
10,11,1,2,マイラプソディ,牡4,56.0,武 豊,1:46.5,クビ,8-10-8,35.8,510,+2,友道 康夫,10
11,12,7,14,ガロアクリーク,牡4,56.0,野中 悠太郎,1:46.5,クビ,6-5-8,35.8,510,+10,上原 博之,12
12,13,1,1,プレシャスブルー,牡7,56.0,柴田 善臣,1:46.6,クビ,18-18-16,35.4,442,+6,相沢 郁,18
13,14,8,16,シュリ,牡5,57.0,M.デムーロ,1:46.7,3/4,15-5-12,35.8,518,+4,池江 泰寿,4
14,15,6,12,ミラアイトーン,牡7,56.0,菊沢 一樹,1:46.7,クビ,15-10-15,35.6,554,-2,菊沢 隆徳,15
15,16,3,5,エアアルマス,牡6,58.0,三浦 皇成,1:46.9,3/4,1-1-1,36.7,488,+6,池添 学,14
16,17,2,4,セダブリランテス,牡7,56.0,石川 裕紀人,1:47.0,1/2,3-5-3,36.6,518,0,手塚 貴久,9
17,18,6,11,,牡5,56.0,江田 照男,1:47.0,クビ,3-2-3,36.6,486,0,高木 登,16
0,1,2,4,テーオーケインズ,牡5,59.0,松山 弘平,1:57.0,,3-3-4-4,35.9,500,前計不,高柳 大輔,1
1,2,2,3,ケイアイパープル,牡6,57.0,藤岡 康太,1:57.4,2 1/2,3-3-2-3,36.5,498,-4,村山 明,7
2,3,3,5,メイショウハリオ,牡5,57.0,浜中 俊,1:57.8,2 1/2,9-8-7-8,36.4,506,+14,岡田 稲男,3
