,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
7,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,8,8,18,ジャパン,牡5,57.0,武 豊,2:25.7,クビ,11-12-11-12,34.3,482,前計不,A.オブライエン,9
8,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,9,5,9,アリストテレス,牡4,57.0,横山 武史,2:25.8,1,1-1-2-2,35.3,480,+8,音無 秀孝,4
9,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,10,3,5,キセキ,牡7,57.0,和田 竜二,2:26.0,1,18-14-1-1,36.6,512,+6,辻野 泰之,7
10,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,11,2,3,ブルーム,牡5,57.0,R.ムーア,2:26.1,1/2,14-11-11-9,34.8,464,前計不,A.オブライエン,6
11,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,12,8,16,ユーキャンスマイル,牡6,57.0,藤岡 佑介,2:26.2,1,13-14-13-12,34.7,506,+6,友道 康夫,14
12,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,13,7,13,モズベッロ,牡5,57.0,池添 謙一,2:26.5,1 1/2,14-14-16-15,34.8,488,+6,森田 直行,16
13,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,14,7,15,マカヒキ,牡8,57.0,藤岡 康太,2:26.5,クビ,12-14-16-15,34.9,508,+2,友道 康夫,12
14,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,15,5,10,ロードマイウェイ,牡5,57.0,三浦 皇成,2:27.0,3,16-12-13-12,35.5,474,+4,杉山 晴紀,18
15,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,16,1,1,,牡7,57.0,柴田 善臣,2:27.0,クビ,16-18-18-18,35.1,490,-2,角田 晃一,15
16,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,17,4,8,,せん4,57.0,北村 宏司,2:27.0,アタマ,9-9-15-15,35.4,508,-2,藤沢 和雄,17
17,2021-11-28,ジャパンカップ,3歳以上,オープン,国際指定,定量,2400メートル芝左,18,8,17,ワグネリアン,牡6,57.0,戸崎 圭太,2:27.1,クビ,2-2-3-2,36.6,464,-2,友道 康夫,13
0,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,1,4,7,シングンマイケル,せん5,63.0,金子 光希,4:38.9,,3-5-2-1,13.6,458,0,高市 圭二,2
1,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,2,3,5,ブライトクォーツ,牡5,63.0,熊沢 重文,4:39.2,2,3-2-1-2,13.6,478,+2,荒川 義之,6
2,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,3,7,12,メイショウダッサイ,牡6,63.0,森 一馬,4:39.6,2 1/2,6-5-6-5,13.6,508,+8,飯田 祐史,4
3,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,4,8,15,シンキングダンサー,牡6,63.0,石神 深一,4:39.6,ハナ,2-3-3-3,13.6,474,+2,武市 康男,1
4,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,5,6,10,ルペールノエル,牡9,63.0,高田 潤,4:39.8,1 1/2,7-7-7-6,13.6,520,-6,藤原 英昭,8
5,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,6,7,13,メドウラーク,牡8,63.0,北沢 伸也,4:40.7,5,3-3-4-3,13.7,500,+2,橋田 満,7
6,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,7,2,2,ヨカグラ,せん6,63.0,西谷 誠,4:42.7,大差,12-12-12-12,13.8,474,-4,中竹 和也,5
7,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,8,4,6,シゲルロウニンアジ,牡6,63.0,植野 貴也,4:43.2,3,8-8-8-8,13.8,500,0,湯窪 幸雄,12
8,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,9,1,1,トーヨーピース,牡5,63.0,草野 太郎,4:43.3,1/2,13-13-10-10,13.8,474,+2,土田 稔,11
9,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,10,5,9,ディライトフル,せん8,63.0,白浜 雄造,4:43.4,3/4,1-1-5-7,13.8,488,+4,大久保 龍志,3
10,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,11,8,14,セガールフォンテン,牡9,63.0,江田 勇亮,4:43.5,クビ,9-9-10-10,13.8,508,+2,石毛 善彦,14
11,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,12,5,8,トラキアンコード,せん7,63.0,五十嵐 雄祐,4:43.7,1 1/4,10-10-9-9,13.8,506,+4,武市 康男,9
12,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,13,2,3,サウスオブボーダー,牡6,63.0,平沢 健治,4:46.0,大差,11-11-12-13,14.0,454,0,五十嵐 忠男,13
13,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,14,6,11,シュンクルーズ,牡7,63.0,大江原 圭,4:49.5,大差,14-14-14-14,14.1,456,0,柄崎 孝,15
14,2019-12-21,中山大障害,障害3歳以上,オープン,国際,定量,4100メートル芝,15,3,4,スリーコーズライン,牡3,61.0,伊藤 工真,4:49.9,2 1/2,15-15-15-15,14.1,462,-2,柄崎 孝,10
0,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,1,3,5,インディチャンプ,牡4,58.0,福永 祐一,1:30.9,,4-5,32.9,470,0,音無 秀孝,4
1,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,2,1,2,アエロリット,牝5,56.0,戸崎 圭太,1:30.9,クビ,1-1,33.9,516,+4,菊沢 隆徳,3
2,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,3,7,14,アーモンドアイ,牝4,56.0,C.ルメール,1:30.9,ハナ,11-9,32.4,484,前計不,国枝 栄,1
3,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,4,3,6,グァンチャーレ,牡7,58.0,松岡 正海,1:31.1,1 1/2,2-2,33.9,472,0,北出 成人,13
4,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,5,2,4,サングレーザー,牡5,58.0,岩田 康誠,1:31.1,ハナ,7-7,32.9,486,-2,浅見 秀一,6
5,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,6,4,7,モズアスコット,牡5,58.0,坂井 瑠星,1:31.2,クビ,6-6,33.1,488,-8,矢作 芳人,7
6,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,7,1,1,ケイアイノーテック,牡4,58.0,幸 英明,1:31.3,1/2,13-12,32.7,466,-4,平田 修,10
7,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,8,4,8,ステルヴィオ,牡4,58.0,D.レーン,1:31.3,ハナ,15-15,32.6,486,+8,木村 哲也,5
8,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,9,8,16,ロジクライ,牡6,58.0,武 豊,1:31.4,1/2,3-3,33.8,512,-2,須貝 尚介,11
9,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,10,7,13,ペルシアンナイト,牡5,58.0,M.デムーロ,1:31.8,2 1/2,16-16,32.7,494,0,池江 泰寿,8
10,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,11,2,3,サクラアンプルール,牡8,58.0,横山 典弘,1:31.9,1/2,11-12,33.3,486,+2,金成 貴史,15
11,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,12,6,12,ロードクエスト,牡6,58.0,石川 裕紀人,1:31.9,ハナ,4-4,34.1,464,0,小島 茂之,16
12,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,13,5,9,スマートオーディン,牡6,58.0,池添 謙一,1:32.0,3/4,13-12,33.4,500,-4,池江 泰寿,12
13,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,14,5,10,フィアーノロマーノ,牡5,58.0,北村 友一,1:32.1,1/2,9-9,33.7,544,+4,高野 友和,9
14,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,15,6,11,エントシャイデン,牡4,58.0,田辺 裕信,1:32.2,1/2,7-7,34.0,474,+2,矢作 芳人,14
15,2019-06-02,安田記念,3歳以上,オープン,国際指定,定量,1600メートル芝左,16,8,15,ダノンプレミアム,牡4,58.0,川田 将雅,1:32.9,4,9-9,34.5,504,+4,中内田 充正,2
0,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,1,3,5,クリソベリル,牡3,55.0,川田 将雅,1:48.5,,3-3-4-4,35.4,550,+11,音無 秀孝,2
1,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,2,6,11,ゴールドドリーム,牡6,57.0,C.ルメール,1:48.5,クビ,4-5-4-4,35.4,536,+10,平田 修,1
2,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,3,2,4,インティ,牡5,57.0,武 豊,1:48.7,1 1/4,1-1-1-1,35.9,516,-4,野中 賢二,3
3,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,4,2,3,チュウワウィザード,牡4,57.0,福永 祐一,1:48.8,1/2,6-6-8-7,35.5,482,+1,大久保 龍志,5
4,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,5,6,12,キングズガード,牡8,57.0,秋山 真一郎,1:49.1,1 3/4,15-15-15-15,35.0,466,-4,寺島 良,13
5,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,6,3,6,オメガパフューム,牡4,57.0,L.デットーリ,1:49.2,3/4,6-7-8-7,35.9,452,-6,安田 翔伍,4
6,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,7,8,16,ヴェンジェンス,牡6,57.0,幸 英明,1:49.2,アタマ,13-13-11-11,35.6,494,+2,大根田 裕之,10
7,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,8,1,1,タイムフライヤー,牡4,57.0,O.マーフィー,1:49.2,アタマ,10-9-11-11,35.6,474,+10,松田 国英,8
8,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,9,4,8,ウェスタールンド,せん7,57.0,C.スミヨン,1:49.2,ハナ,10-9-8-7,35.9,488,+2,佐々木 晶三,6
9,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,10,8,15,ロンドンタウン,牡6,57.0,岩田 康誠,1:49.3,1/2,4-3-2-2,36.4,526,+12,牧田 和弥,14
10,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,11,4,7,ワンダーリーデル,牡6,57.0,横山 典弘,1:49.4,クビ,13-13-13-13,35.5,532,+4,安田 翔伍,11
11,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,12,1,2,モズアトラクション,牡5,57.0,藤岡 康太,1:49.9,3,16-16-16-16,35.4,494,0,松下 武士,12
12,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,13,5,10,ミツバ,牡7,57.0,和田 竜二,1:50.3,2 1/2,12-12-13-13,36.4,480,+9,加用 正,15
13,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,14,7,13,ワイドファラオ,牡3,55.0,M.デムーロ,1:50.3,クビ,9-9-4-4,37.2,502,-2,角居 勝彦,9
14,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,15,5,9,サトノティターン,牡6,57.0,R.ムーア,1:50.5,1 1/2,6-7-7-7,37.3,580,+6,堀 宣行,7
15,2019-12-01,チャンピオンズカップ,3歳以上,オープン,国際指定,定量,1800メートルダート左,16,7,14,,牡4,57.0,川須 栄彦,1:51.8,8,2-2-2-2,38.9,516,+6,宮 徹,16
0,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,1,3,6,リスグラシュー,牝5,55.0,D.レーン,2:30.5,,10-10-11-9,34.7,468,前計不,矢作 芳人,2
1,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,2,5,10,サートゥルナーリア,牡3,55.0,C.スミヨン,2:31.3,5,13-13-11-7,35.4,504,+2,角居 勝彦,3
2,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,3,4,7,ワールドプレミア,牡3,55.0,武 豊,2:31.4,クビ,15-16-16-16,35.0,492,+8,友道 康夫,4
3,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,4,3,5,フィエールマン,牡4,57.0,池添 謙一,2:31.6,1 1/2,10-10-9-4,36.0,482,前計不,手塚 貴久,6
4,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,5,6,11,キセキ,牡5,57.0,R.ムーア,2:31.6,クビ,12-12-11-9,35.8,506,前計不,角居 勝彦,7
5,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,6,8,16,シュヴァルグラン,牡7,57.0,福永 祐一,2:31.9,1 3/4,14-14-14-13,35.8,470,+6,友道 康夫,14
6,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,7,4,8,,牡5,57.0,三浦 皇成,2:32.1,1 1/4,15-14-14-13,36.0,494,+8,藤沢 和雄,9
7,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,8,7,14,ヴェロックス,牡3,55.0,川田 将雅,2:32.3,1,8-8-9-9,36.7,494,+4,中内田 充正,8
8,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,9,5,9,アーモンドアイ,牝4,55.0,C.ルメール,2:32.3,ハナ,8-8-7-4,36.9,486,+6,国枝 栄,1
9,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,10,2,3,,牡4,57.0,横山 典弘,2:32.4,クビ,5-5-5-4,37.2,462,0,友道 康夫,10
10,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,11,7,13,アルアイン,牡5,57.0,松山 弘平,2:32.8,2 1/2,4-4-3-3,38.0,526,0,池江 泰寿,15
11,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,12,1,2,スワーヴリチャード,牡5,57.0,O.マーフィー,2:33.6,5,6-6-6-7,38.3,526,+10,庄野 靖志,5
12,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,13,2,4,スティッフェリオ,牡5,57.0,丸山 元気,2:34.0,2 1/2,2-2-2-2,39.9,456,+8,音無 秀孝,13
13,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,14,8,15,アエロリット,牝5,55.0,津村 明秀,2:35.0,6,1-1-1-1,42.1,514,-2,菊沢 隆徳,12
14,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,15,1,1,スカーレットカラー,牝4,55.0,岩田 康誠,2:35.3,1 3/4,7-6-7-13,39.8,474,-12,高橋 亮,11
15,2019-12-22,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,16,6,12,クロコスミア,牝6,55.0,藤岡 佑介,2:35.3,クビ,2-3-3-12,40.6,444,-4,西浦 勝一,16
0,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,1,7,15,シュネルマイスター,牡3,57.0,C.ルメール,1:31.6,,9-9,34.0,480,0,手塚 貴久,2
1,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,2,5,10,ソングライン,牝3,55.0,池添 謙一,1:31.6,ハナ,6-7,34.3,480,+2,林 徹,7
2,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,3,4,8,グレナディアガーズ,牡3,57.0,川田 将雅,1:32.1,2 1/2,3-2,35.1,460,+2,中内田 充正,1
3,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,4,3,5,リッケンバッカー,牡3,57.0,横山 武史,1:32.2,1/2,15-16,33.9,466,-2,西村 真幸,11
4,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,5,8,16,ロードマックス,牡3,57.0,岩田 望来,1:32.3,3/4,12-11,34.5,446,+4,藤原 英昭,15
5,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,6,4,7,タイムトゥヘヴン,牡3,57.0,M.デムーロ,1:32.3,ハナ,6-8,34.9,478,+2,戸田 博文,8
6,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,7,1,2,アナザーリリック,牝3,55.0,津村 明秀,1:32.4,3/4,9-9,34.8,496,+12,林 徹,10
7,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,8,6,12,ランドオブリバティ,牡3,57.0,石橋 脩,1:32.4,クビ,5-5,35.2,462,-2,鹿戸 雄一,9
8,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,9,7,13,ホウオウアマゾン,牡3,57.0,武 豊,1:32.6,1,2-2,35.6,486,-10,矢作 芳人,4
9,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,10,2,3,ルークズネスト,牡3,57.0,幸 英明,1:32.8,1 1/4,6-5,35.6,506,-4,浜田 多実雄,5
10,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,11,6,11,ヴェイルネビュラ,牡3,57.0,戸崎 圭太,1:32.9,3/4,14-14,34.8,492,0,大竹 正博,13
11,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,12,8,18,ピクシーナイト,牡3,57.0,福永 祐一,1:32.9,アタマ,1-1,36.0,532,+2,音無 秀孝,6
12,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,13,7,14,ショックアクション,牡3,57.0,田辺 裕信,1:33.0,1/2,11-11,35.2,496,0,大久保 龍志,14
13,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,14,3,6,シティレインボー,牡3,57.0,三浦 皇成,1:33.1,3/4,16-14,35.0,466,-4,池添 兼雄,17
14,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,15,1,1,レイモンドバローズ,牡3,57.0,浜中 俊,1:33.4,1 1/2,17-17,34.7,482,+6,上村 洋行,12
15,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,16,5,9,ゴールドチャリス,牝3,55.0,田中 勝春,1:33.4,クビ,13-13,35.4,404,-12,武 幸四郎,18
16,2021-05-09,NHKマイルカップ,3歳,オープン,国際牡牝指定,定量,1600メートル芝左,17,8,17,グレイイングリーン,牡3,57.0,武藤 雅,1:34.1,4,3-2,37.1,482,0,池江 泰寿,16
0,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,1,5,9,クロノジェネシス,牝4,55.0,北村 友一,2:35.0,,12-12-3-3,36.2,474,+10,斉藤 崇史,1
1,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,2,7,14,サラキア,牝5,55.0,松山 弘平,2:35.0,クビ,13-13-13-12,35.4,448,-2,池添 学,11
2,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,3,7,13,フィエールマン,牡5,57.0,C.ルメール,2:35.1,クビ,2-4-2-2,36.5,478,0,手塚 貴久,2
3,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,4,4,7,ラッキーライラック,牝5,55.0,福永 祐一,2:35.5,2 1/2,9-9-7-5,36.5,522,0,松永 幹夫,4
4,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,5,3,5,ワールドプレミア,牡4,57.0,武 豊,2:35.6,1/2,5-5-10-12,36.3,484,+2,友道 康夫,5
5,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,5,5,10,カレンブーケドール,牝4,55.0,池添 謙一,2:35.6,同着,8-5-3-3,36.8,478,+4,国枝 栄,3
6,2020-12-27,有馬記念,3歳以上,オープン,国際指定,定量,2500メートル芝右,7,4,8,ペルシアンナイト,牡6,57.0,大野 拓弥,2:35.6,アタマ,9-9-10-9,36.2,500,0,池江 泰寿,12
